mouse_id,phase,room_id,room_time
0065-0136671473,PHASE 1 dark,3.0,9705968.0
0065-0136671473,PHASE 1 dark,4.0,4477361.0
0065-0136671473,PHASE 1 light,1.0,33335819.0
0065-0136671473,PHASE 1 light,2.0,760473.0
0065-0136671473,PHASE 1 light,3.0,719820.0
0065-0136671473,PHASE 1 light,4.0,3412963.0
0065-0136671473,PHASE 2 dark,1.0,21803756.0
0065-0136671473,PHASE 2 dark,2.0,16102419.0
0065-0136671473,PHASE 2 dark,3.0,4449868.0
0065-0136671473,PHASE 2 dark,4.0,6763884.0
0065-0136671473,PHASE 2 light,1.0,1110680.0
0065-0136671473,PHASE 2 light,2.0,30635675.0
0065-0136671473,PHASE 2 light,3.0,923742.0
0065-0136671473,PHASE 2 light,4.0,1328543.0
0065-0136671473,PHASE 3 dark,1.0,23837417.0
0065-0136671473,PHASE 3 dark,2.0,15397081.0
0065-0136671473,PHASE 3 dark,3.0,4200917.0
0065-0136671473,PHASE 3 dark,4.0,4959004.0
0065-0136671473,PHASE 3 light,1.0,8342426.0
0065-0136671473,PHASE 3 light,2.0,25924743.0
0065-0136671473,PHASE 3 light,3.0,378314.0
0065-0136671473,PHASE 3 light,4.0,1019416.0
0065-0136653169,PHASE 1 dark,1.0,13203005.0
0065-0136653169,PHASE 1 dark,2.0,3454970.0
0065-0136653169,PHASE 1 dark,3.0,18154103.0
0065-0136653169,PHASE 1 dark,4.0,3616927.0
0065-0136653169,PHASE 1 light,1.0,32938547.0
0065-0136653169,PHASE 1 light,2.0,868442.0
0065-0136653169,PHASE 1 light,3.0,979659.0
0065-0136653169,PHASE 1 light,4.0,3320518.0
0065-0136653169,PHASE 2 dark,1.0,29573943.0
0065-0136653169,PHASE 2 dark,2.0,4618385.0
0065-0136653169,PHASE 2 dark,3.0,2592367.0
0065-0136653169,PHASE 2 dark,4.0,5397942.0
0065-0136653169,PHASE 2 light,1.0,1435364.0
0065-0136653169,PHASE 2 light,2.0,38799724.0
0065-0136653169,PHASE 2 light,3.0,751390.0
0065-0136653169,PHASE 2 light,4.0,1494406.0
0065-0136653169,PHASE 3 dark,1.0,27608313.0
0065-0136653169,PHASE 3 dark,2.0,7586224.0
0065-0136653169,PHASE 3 dark,3.0,4381144.0
0065-0136653169,PHASE 3 dark,4.0,7102364.0
0065-0136653169,PHASE 3 light,1.0,12834410.0
0065-0136653169,PHASE 3 light,2.0,23974105.0
0065-0136653169,PHASE 3 light,3.0,509574.0
0065-0136653169,PHASE 3 light,4.0,1318604.0
0065-0136660676,PHASE 1 dark,1.0,21632429.0
0065-0136660676,PHASE 1 dark,2.0,5220429.0
0065-0136660676,PHASE 1 dark,3.0,15998985.0
0065-0136660676,PHASE 1 dark,4.0,4869925.0
0065-0136660676,PHASE 1 light,1.0,31183066.0
0065-0136660676,PHASE 1 light,2.0,898059.0
0065-0136660676,PHASE 1 light,3.0,880041.0
0065-0136660676,PHASE 1 light,4.0,3296867.0
0065-0136660676,PHASE 2 dark,1.0,20556782.0
0065-0136660676,PHASE 2 dark,2.0,13777803.0
0065-0136660676,PHASE 2 dark,3.0,9967759.0
0065-0136660676,PHASE 2 dark,4.0,5624487.0
0065-0136660676,PHASE 2 light,1.0,828616.0
0065-0136660676,PHASE 2 light,2.0,30856229.0
0065-0136660676,PHASE 2 light,3.0,1110268.0
0065-0136660676,PHASE 2 light,4.0,2207590.0
0065-0136660676,PHASE 3 dark,1.0,23823740.0
0065-0136660676,PHASE 3 dark,2.0,8544319.0
0065-0136660676,PHASE 3 dark,3.0,9307497.0
0065-0136660676,PHASE 3 dark,4.0,4022071.0
0065-0136660676,PHASE 3 light,1.0,5237154.0
0065-0136660676,PHASE 3 light,2.0,30611001.0
0065-0136660676,PHASE 3 light,3.0,2157477.0
0065-0136660676,PHASE 3 light,4.0,2007696.0
0065-0136667521,PHASE 1 dark,1.0,17980188.0
0065-0136667521,PHASE 1 dark,2.0,4727076.0
0065-0136667521,PHASE 1 dark,3.0,13116098.0
0065-0136667521,PHASE 1 dark,4.0,5490124.0
0065-0136667521,PHASE 1 light,1.0,35655037.0
0065-0136667521,PHASE 1 light,2.0,1285535.0
0065-0136667521,PHASE 1 light,3.0,952890.0
0065-0136667521,PHASE 1 light,4.0,3350593.0
0065-0136667521,PHASE 2 dark,1.0,28319185.0
0065-0136667521,PHASE 2 dark,2.0,13611956.0
0065-0136667521,PHASE 2 dark,3.0,2843091.0
0065-0136667521,PHASE 2 dark,4.0,6274466.0
0065-0136667521,PHASE 2 light,1.0,932956.0
0065-0136667521,PHASE 2 light,2.0,32012987.0
0065-0136667521,PHASE 2 light,3.0,470718.0
0065-0136667521,PHASE 2 light,4.0,997068.0
0065-0136667521,PHASE 3 dark,1.0,23064825.0
0065-0136667521,PHASE 3 dark,2.0,13144427.0
0065-0136667521,PHASE 3 dark,3.0,3331827.0
0065-0136667521,PHASE 3 dark,4.0,5701994.0
0065-0136667521,PHASE 3 light,1.0,11158931.0
0065-0136667521,PHASE 3 light,2.0,26519916.0
0065-0136667521,PHASE 3 light,3.0,643226.0
0065-0136667521,PHASE 3 light,4.0,1762276.0
0065-0136661759,PHASE 1 dark,1.0,15587853.0
0065-0136661759,PHASE 1 dark,2.0,3213453.0
0065-0136661759,PHASE 1 dark,3.0,22954415.0
0065-0136661759,PHASE 1 dark,4.0,2838482.0
0065-0136661759,PHASE 1 light,1.0,35238548.0
0065-0136661759,PHASE 1 light,2.0,641506.0
0065-0136661759,PHASE 1 light,3.0,975524.0
0065-0136661759,PHASE 1 light,4.0,3637595.0
0065-0136661759,PHASE 2 dark,1.0,39187826.0
0065-0136661759,PHASE 2 dark,2.0,2212432.0
0065-0136661759,PHASE 2 dark,3.0,85725.0
0065-0136661759,PHASE 2 dark,4.0,1774887.0
0065-0136661759,PHASE 2 light,1.0,353671.0
0065-0136661759,PHASE 2 light,2.0,40531010.0
0065-0136661759,PHASE 2 light,3.0,158383.0
0065-0136661759,PHASE 2 light,4.0,206407.0
0065-0136661759,PHASE 3 dark,1.0,9104422.0
0065-0136661759,PHASE 3 dark,2.0,32560460.0
0065-0136661759,PHASE 3 dark,3.0,1716290.0
0065-0136661759,PHASE 3 dark,4.0,11838.0
0065-0136661759,PHASE 3 light,1.0,9182913.0
0065-0136661759,PHASE 3 light,2.0,31055633.0
0065-0136661759,PHASE 3 light,3.0,120867.0
0065-0136661759,PHASE 3 light,4.0,191573.0
