No,Size,Intensity,Animal_number,Picture_number,Age
40.0,2.541084,262.941563,1056.0,7.0,20.0
41.0,2.856092,357.211243,1056.0,7.0,20.0
42.0,2.888098,375.106414,1056.0,7.0,20.0
43.0,2.213499,248.410476,1056.0,7.0,20.0
44.0,2.719285,182.834346,1056.0,7.0,20.0
45.0,2.808144,264.139993,1056.0,7.0,20.0
46.0,2.875858,192.150838,1056.0,7.0,20.0
1.0,2.447835,315.017409,1172.0,1.0,19.0
2.0,2.402043,314.833142,1172.0,1.0,19.0
3.0,2.704293,306.206174,1172.0,1.0,19.0
4.0,2.761899,413.383328,1172.0,1.0,19.0
5.0,2.308535,447.606571,1172.0,1.0,19.0
6.0,2.868857,333.615103,1172.0,1.0,19.0
7.0,2.596533,160.483296,1172.0,1.0,19.0
8.0,2.984158,225.622301,1172.0,1.0,19.0
9.0,2.813515,257.009563,1172.0,1.0,19.0
10.0,2.66905,300.609427,1172.0,1.0,19.0
11.0,2.592648,278.056252,1172.0,1.0,19.0
12.0,2.896208,275.032226,1172.0,1.0,19.0
13.0,2.349298,313.527184,1172.0,1.0,19.0
14.0,2.924626,263.372143,1172.0,1.0,19.0
15.0,2.765278,335.949542,1172.0,1.0,19.0
16.0,2.535398,418.184133,1172.0,1.0,19.0
17.0,2.623046,324.520383,1172.0,1.0,19.0
18.0,2.985161,235.197348,1172.0,1.0,19.0
19.0,2.381999,352.164264,1172.0,1.0,19.0
20.0,2.308043,338.018797,1172.0,1.0,19.0
21.0,2.684963,208.048703,1172.0,1.0,19.0
22.0,2.479113,382.914067,1172.0,1.0,19.0
23.0,2.437361,299.305456,1172.0,1.0,19.0
24.0,2.335366,230.426268,1172.0,1.0,19.0
25.0,2.579676,264.401464,1172.0,1.0,19.0
26.0,2.388874,304.843953,1172.0,1.0,19.0
27.0,2.613459,322.031868,1172.0,1.0,19.0
28.0,2.832804,240.361093,1172.0,1.0,19.0
29.0,2.342446,295.752792,1172.0,1.0,19.0
30.0,2.645666,219.761117,1172.0,1.0,19.0
31.0,2.69317,327.374132,1172.0,1.0,19.0
32.0,2.774216,357.286278,1172.0,1.0,19.0
33.0,2.446426,257.065495,1172.0,1.0,19.0
34.0,2.492797,347.439296,1172.0,1.0,19.0
35.0,2.718337,257.826699,1172.0,1.0,19.0
36.0,2.376008,333.848209,1172.0,1.0,19.0
37.0,2.849566,284.831697,1172.0,1.0,19.0
38.0,2.405519,275.24394,1172.0,1.0,19.0
39.0,2.930897,263.520379,1172.0,1.0,19.0
40.0,2.910044,280.575809,1172.0,1.0,19.0
